'번호','영업상태구분코드','소재지전체주소','사업장명','업태구분명','좌표정보(x)','좌표정보(y)'
'13101','1','서울특별시 마포구 연남동 487-342번지','카페트리씨(Cafe Tree-sea)','커피숍','192641.203','451351.041'
'13104','1','서울특별시 마포구 염리동 27-46번지','카페다이아몬드','커피숍','195435.8251','449632.0963'
'13105','1','서울특별시 마포구 연남동 390-30번지','잉큼','커피숍','193403.9907','451067.5885'
'13106','1','서울특별시 마포구 도화동 179-11번지','설빙마포공덕점','커피숍','195454.0737','448754.1591'
'13107','1','서울특별시 마포구 망원동 473-5','카페인중독 망원점','커피숍','191451.7796','450944.3659'
'13110','1','서울특별시 마포구 공덕동 445-1번지 공덕더샵아파트 102동 3호','커피베이공덕더샵','커피숍','195421.8239','449129.7261'
'13111','1','서울특별시 마포구 망원동 395-17번지 1층일부','모아(moa Bird)','커피숍','191617.3071','450139.8708'
'13118','1','서울특별시 마포구 신공덕동 159번지 신공덕2차삼성래미안','공간산마루','커피숍','196221.5457','449347.2585'
'13119','1','서울특별시 마포구 서교동 357-5번지 홍익몰','놀숲플러스 홍대점','커피숍','192962.2668','450099.3632'
'13122','1','서울특별시 마포구 용강동 494-18번지','존스몰커피로스터리','커피숍','194584.2739','449045.8423'
'13123','1','서울특별시 마포구 서교동 461-2번지','카페깔깔고블린','커피숍','192574.2218','450350.7731'
'13127','1','서울특별시 마포구 동교동 201-4번지','카페드랑페르','커피숍','193018.8325','450569.9942'
'13128','1','서울특별시 마포구 망원동 338-67','커버드크림','커피숍','191743.9804','450170.728'
'13130','1','서울특별시 마포구 도화동 555번지 마포 한화 오벨리스크','공차','커피숍','195111.0881','448644.3113'
'13131','1','서울특별시 마포구 동교동 161-5번지','노란코끼리','커피숍','192997.9068','450429.3117'
'13132','1','서울특별시 마포구 동교동 200-18번지 1층','포토그룹W카페','커피숍','193011.45','450630.3369'
'13134','1','서울특별시 마포구 연남동 239-49번지','얼스어스','커피숍','193147.1782','451316.9531'
'13138','1','서울특별시 마포구 도화동 555번지 한화오벨리스크1층103호','이디야 마포오벨리스크점','커피숍','195111.0881','448644.3113'
'13153','1','서울특별시 종로구 평동 164번지 서울적십자병원','블루포트 적십자병원점','커피숍','197013.4902','451678.7875'
'13192','1','서울특별시 강북구 수유동 468-19번지 이엠스터디학원','카페라온 꿈','커피숍','201155.0871','458839.1865'
'13205','1','서울특별시 강서구 염창동 260-15번지 도레미빌딩 (지상 1층)','VICC(빅)','커피숍','189145.4559','449483.6887'
'13232','1','서울특별시 종로구 당주동 40번지','이마트24 종로당주점','커피숍','197698.745','452100.5179'
'13234','1','서울특별시 양천구 목동 797-21번지','위한커피','커피숍','188109.2903','447796.3889'
'13259','1','서울특별시 강남구 신사동 664-6번지','커피에 반하다','커피숍','203493.4986','447259.6515'
'13272','1','서울특별시 용산구 효창동 5-359번지 1층','카페인중독용산직영점','커피숍','196422.8321','448963.2103'
'13291','1','서울특별시 도봉구 창동 14-4번지','커피이야기(커피스토리)','커피숍','204502.1186','461278.3911'
'13296','1','서울특별시 금천구 가산동 691번지 117일부호','더벤티 가산대륭20차','커피숍','189920.5286','440521.8552'
'13301','1','서울특별시 성북구 정릉동 394-18번지','카페11로','커피숍','200664.3501','456245.8927'
'13310','1','서울특별시 용산구 동자동 43-17번지 이어도 1층','나사렛카페','커피숍','197449.062','449901.1382'
'13319','1','서울특별시 성동구 금호동3가 460번지','맛있는떡집','커피숍','201858.0629','449626.85'
'13322','1','서울특별시 동작구 흑석동 183-42번지','콘레드커피 중앙대점','커피숍','196463.798','445066.8192'
'13341','1','서울특별시 노원구 월계동 845-5번지 성진빌딩 101호','이디야월계초교점','커피숍','204376.4144','458295.2252'
'13373','1','서울특별시 성북구 길음동 1285-7번지 뉴타운프라자상가','베리굿슬라임','커피숍','201621.3317','456272.2617'
'13377','1','서울특별시 양천구 목동 709-1번지','고커피','커피숍','187836.1802','448951.0466'
'13379','1','서울특별시 서초구 서초동 1648-8번지 1층 1호','ONE''S(원스)','커피숍','201768.6633','443137.1822'
'13419','1','서울특별시 강남구 논현동 142-2번지 JS타워 지상1층','스타벅스 논현역사거리점','커피숍','201908.7511','445336.4638'
'13421','1','서울특별시 강남구 대치동 944-31번지 한국섬유산업연합회 지상1층','스타벅스 삼성역섬유센터R점','커피숍','205291.4867','445028.2094'
'13447','1','서울특별시 강남구 청담동 86번지','투썸플레이스 학동사거리점','커피숍','203432.5185','446848.2841'
'13462','1','서울특별시 동작구 상도동 184-4','사일런트 커피 랩(Silent Coffee Lab)','커피숍','194637.7736','444504.587'
'13474','1','서울특별시 강남구 논현동 144-20번지','여기커피','커피숍','201993.4613','445298.6877'
'13477','1','서울특별시 성동구 행당동 192-29번지 성동샤르망','커피엔진','커피숍','203182.5939','451405.1836'
'13492','1','서울특별시 강남구 세곡동 606번지 A동 지상1층','워시존 강남점','커피숍','208586.0157','440474.0079'
'13493','1','서울특별시 강남구 청담동 7-20번지','커피코','커피숍','204144.3996','446743.8653'
'13544','1','서울특별시 강북구 수유동 47-2번지','투썸플레이스 수유사거리점','커피숍','201955.0623','459174.6827'
'13552','1','서울특별시 강남구 논현동 55-3번지 민병원강남타워','민카페','커피숍','202080.7113','445562.1344'
'13585','1','서울특별시 광진구 자양동 635-1번지 1층','카페(CAFE)113','커피숍','206996.6731','447790.2994'
'13631','1','서울특별시 금천구 독산동 1155번지 금천롯데캐슬골드파크3차','이디야 금천롯데마트점','커피숍','',''
'13645','1','서울특별시 강서구 화곡동 782-11번지 (지하 1층)','카카오독','커피숍','187849.0432','447626.0638'
'13653','1','서울특별시 성북구 하월곡동 88-470','바틀브로스(Bottle Bros)','커피숍','202518.3756','456065.672'
'13683','1','서울특별시 강남구 삼성동 159-7 현대백화점','더 앨리 무역점 2호','커피숍','205210.3588','445154.4223'
'13721','1','서울특별시 광진구 중곡동 142-26','스미다','커피숍','207110.0713','450591.414'
'13789','1','서울특별시 강남구 대치동 921번지','웨이웨이','커피숍','204487.461','444189.5842'
'13792','1','서울특별시 강남구 일원동 683-12번지','오프더쉘프(offtheshelf)','커피숍','207174.5999','443224.9003'
'13802','1','서울특별시 양천구 신정동 899-4 동보빌딩','마스터그레이드 커피','커피숍','187869.7787','447315.6933'
'13808','1','서울특별시 서대문구 홍제동 266-29번지 1층','홍제동수제파이&커피','커피숍','195211.1596','454311.6016'
'13827','1','서울특별시 동대문구 휘경동 산 6-2번지 삼육서울병원 영안실동','썬카페','커피숍','205816.4087','454133.2886'
'13846','1','서울특별시 강남구 역삼동 617-1번지','폴인팬케이크 강남점','커피숍','202361.679','444550.6673'
'13869','1','서울특별시 서대문구 홍은동 450-5번지 북한산 더샵','이디야 홍은사거리점','커피숍','194755.7898','454458.7732'
'13898','1','서울특별시 금천구 가산동 691번지 대륭테크노타운 20차 130호','TUTTO COFFEE 투토커피','커피숍','189920.5286','440521.8552'
'13900','1','서울특별시 서초구 잠원동 73번지 신반포2지구아파트 1층 102호','카페 오봉','커피숍','200126.8054','445334.3087'
'13949','1','서울특별시 관악구 봉천동 1562-18 제이빌딩','이디야커피 청룡중앙점','커피숍','195088.4921','441889.2297'
'13964','1','서울특별시 종로구 연건동 28-21번지 서울대학교병원','파스쿠찌 서울대병원','커피숍','199824.096','452984.3605'
'13977','1','서울특별시 도봉구 창동 14번지 창동시티월드','카페트리(cafe TREE)','커피숍','204428.263','461255.9537'
'13995','1','서울특별시 성동구 성수동1가 668-90번지','빌로우(BELOW)','커피숍','203682.3109','449440.2672'
'14025','1','서울특별시 강남구 도곡동 952번지 대우양재디오빌','카페판다 뱅뱅사거리점','커피숍','202895.5023','442698.4764'
'14035','1','서울특별시 도봉구 방학동 695번지 1층','온도감','커피숍','203037.6105','462402.3104'
'14049','1','서울특별시 성동구 하왕십리동 988-2번지','비타민하우스 로뎀나무커피','커피숍','202658.4716','451069.1601'
'14072','1','서울특별시 강남구 논현동 139-9번지','쥴리샵','커피숍','202187.6828','445433.2118'
'14073','1','서울특별시 강남구 역삼동 673-27번지','와리가리커피','커피숍','203452.1223','444582.0761'
'14074','1','서울특별시 강남구 신사동 613-5번지 캐럴라인타워','커피팝콘 (coffee popkon)','커피숍','202601.2166','447186.6595'
'14096','1','서울특별시 광진구 구의동 66-73번지','스테이어와일','커피숍','207725.5499','449281.5513'
'14113','1','서울특별시 동대문구 장안동 368-1번지 아트몰링 장안','라크리마커피아트몰링 장안점','커피숍','206325.3494','452184.2102'
'14123','1','서울특별시 종로구 명륜2가 222번지','이마트24 R종로성대점','커피숍','199728.6737','453507.3185'
'14150','1','서울특별시 동작구 상도1동 361-1번지','스테이선샤인(stay sunshine)','커피숍','195598.8082','444269.8982'
'14157','1','서울특별시 동작구 대방동 415-29번지','마노아','커피숍','193064.6362','444061.3416'
'14168','1','서울특별시 동작구 사당동 1030-20번지','체리블라썸(Cherry Blossom)','커피숍','198279.2662','442017.9251'
'14201','1','서울특별시 금천구 가산동 691번지 대륭테크노타운 20차 131호','만랩커피 독산점','커피숍','189920.5286','440521.8552'
'14202','1','서울특별시 노원구 상계동 436-3번지 지하1층','카페로뎀','커피숍','205880.804','462089.0974'
'14214','1','서울특별시 서초구 양재동 232번지 AT센터 1층','득','커피숍','203392.7935','440676.3799'
'14215','1','서울특별시 관악구 봉천동 100-137번지','고로커피로스터스','커피숍','196209.6858','442062.6838'
'14220','1','서울특별시 강남구 자곡동 440-19번지','픽처레스크(picturesque)','커피숍','208533.7906','441237.4074'
'14226','1','서울특별시 중구 회현동1가 74-1번지 신태양여관','Marie''s(마리스)','커피숍','198265.4113','450642.4898'
'14299','1','서울특별시 강남구 대치동 916-38번지','메리 펫 카페','커피숍','204998.3792','444304.5469'
'14308','1','서울특별시 노원구 하계동 284번지 세이브존','쥬씨 앤 차얌(노원세이브존점)','커피숍','205994.8118','459502.6453'
'14309','1','서울특별시 노원구 상계동 581-2번지 상계동 센트럴타워','커피에반하다','커피숍','205368.3884','461774.1111'
'14316','1','서울특별시 영등포구 당산동 71-2번지 양화대교 전망카페','미니스톱한강양화점','커피숍','191223.1213','448584.8151'
'14321','1','서울특별시 성북구 안암동5가 1-2번지 고려대학교안암캠퍼스','산학관까페테리아','커피숍','202789.6923','454049.5519'
'14325','1','서울특별시 중구 신당동 113-7번지 하이아파트','커피합니다','커피숍','201465.766','451297.7682'
'14328','1','서울특별시 종로구 종로2가 9번지 서울 YMCA','로코랩','커피숍','198630.7963','452035.4126'
'14330','1','서울특별시 구로구 구로동 798-30번지','이미 커피','커피숍','190032.6665','442529.4676'
'14346','1','서울특별시 금천구 독산동 884-18번지 세방스테이','느루커피','커피숍','191534.509','441663.7254'
'14348','1','서울특별시 금천구 가산동 60-15번지 삼성리더스타워','고식','커피숍','189685.5162','442026.469'
'14363','1','서울특별시 강서구 등촌동 515-21번지 다담가 (지상 1층) 102호','바른마카롱','커피숍','187444.5017','449274.6788'
'14364','1','서울특별시 강서구 등촌동 639-23번지 (지상3층)','CGV등촌 투썸플레이스','커피숍','187210.9178','450631.4355'
'14380','1','서울특별시 영등포구 당산동4가 32-105번지 대성빌딩','블랑드티당산점','커피숍','191068.2137','447313.0624'
'14381','1','서울특별시 영등포구 영등포동1가 143-3번지 영등포 J&S','스타벅스영등포역점','커피숍','191908.1188','446086.8191'
'14387','1','서울특별시 종로구 인의동 112-1번지 더케이손해보험빌딩','바빈스커피 종로 Thek 손해보험점','커피숍','199682.1089','452278.2439'
'14417','1','서울특별시 구로구 신도림동 387-3번지 신도림월드메르디앙오피스텔 101호','이디야 신도림메르디앙점','커피숍','189505.3172','445273.4227'
'14422','1','서울특별시 강남구 신사동 521번지','행복한 수플레','커피숍','201728.3433','446420.4453'
'14423','1','서울특별시 강남구 대치동 894-7번지 세원빌딩','커피야','커피숍','204854.6859','444674.9792'
'14425','1','서울특별시 강남구 도곡동 418-2번지 지상1층','참빛 카페','커피숍','203936.456','442579.3869'
'14430','1','서울특별시 강서구 마곡동 797-6번지 건와빌딩 (지상 1층)','익스큐즈미','커피숍','',''
'14467','1','서울특별시 구로구 구로동 197-5번지 삼성IT밸리','매머드 익스프레스 구로 삼성아이티밸리점','커피숍','190612.7794','442662.4219'
'14474','1','서울특별시 종로구 내자동 105번지','풀 오브 파운드','커피숍','197388.1809','452591.7014'
'14486','1','서울특별시 강서구 화곡동 59-9번지 한성타운 (지상 1층) 103호','카페오월','커피숍','186396.4938','448934.8203'
'14525','1','서울특별시 성동구 성수동1가 13-65번지','크림라벨','커피숍','204243.1442','449686.2066'
'14526','1','서울특별시 성동구 성수동2가 345-9번지','카페 성덕정길','커피숍','204509.046','448426.587'
'14535','1','서울특별시 강동구 강일동 665-3번지 홀트강동복지관','홀트강동복지관','커피숍','',''
'14536','1','서울특별시 구로구 구로동 614-50번지','매머드 익스프레스 구로대명벨리온점','커피숍','188818.9645','444573.1788'
'14543','1','서울특별시 동대문구 휘경동 267-9번지 웨딩헤너스','헤너스 까페','커피숍','205226.1268','454172.0557'
'14570','1','서울특별시 은평구 진관동 154 은평뉴타운 제각말 상가1층 513동 105호','카페쉼','커피숍','193939.1371','458455.4929'
'14578','1','서울특별시 동대문구 장안동 398-7번지','퍼니걸스','커피숍','205742.1106','451664.2126'
'14586','1','서울특별시 강서구 등촌동 678-5번지 에이치투아이앤티빌딩(지상1층)','커피쿡','커피숍','185787.2046','450997.6555'
'14588','1','서울특별시 성북구 정릉동 861-1 국민대학교 과학관 1층','과학관커피점','커피숍','199628.1728','456534.7766'
'14614','1','서울특별시 광진구 자양동 224-1번지','리밀커피&밀리마카롱','커피숍','206902.4054','448462.57'
'14642','1','서울특별시 관악구 봉천동 853-2번지 준빌딩','통툰 서울대입구역점','커피숍','195813.7723','442028.9953'
'14646','1','서울특별시 서대문구 남가좌동 3-2번지','카페 다니엘푸드','커피숍','193132.8936','453497.3263'
'14647','1','서울특별시 서대문구 연희동 124-31번지 1층 일부(우측)','르 뾔이따쥬','커피숍','193743.6039','451871.7931'
'14667','1','서울특별시 종로구 공평동 17번지','어반그로브','커피숍','198455.0446','452160.1471'
'14668','1','서울특별시 종로구 혜화동 114-2번지 1층','위트 앤 시니컬','커피숍','199984.0337','453695.7264'
'14674','1','서울특별시 영등포구 문래동4가 40번지 조흥힐그린 A동','메일라드커피랩','커피숍','190023.4894','445809.6669'
'14679','1','서울특별시 영등포구 대림동 665-13번지','옥이커피','커피숍','190933.3541','444346.7774'
'14723','1','서울특별시 동대문구 휘경동 293-46번지','아임유','커피숍','205230.2898','453833.291'
'14725','1','서울특별시 강동구 천호동 572번지 현대백화점','폴 바셋 현대백화점 천호점','커피숍','210929.9197','448537.4067'
'14739','1','서울특별시 관악구 신림동 산 56-1번지 서울대학교','파스쿠찌 서울대관정도서관점','커피숍','196139.865','439023.1671'
'14743','1','서울특별시 마포구 동교동 179-10번지 북카페','단편집','커피숍','200034.5844','453577.361'
'14749','1','서울특별시 강동구 명일동 48-4번지','노사인보드(Nosignboard)','커피숍','213667.6607','450063.6676'
'14750','1','서울특별시 강동구 성내동 319-9번지','까페항상','커피숍','210719.9665','447609.3363'
'14775','1','서울특별시 강남구 논현동 50-1번지 논현빌딩','새마을휘트니스논현','커피숍','201830.4911','445497.9596'
'14776','1','서울특별시 금천구 독산동 1009-74','달리는 커피 독산1호점','커피숍','190826.067','440219.1365'
'14808','1','서울특별시 도봉구 창동 135-14번지','커피에반하다','커피숍','204063.565','461204.6281'
'14825','1','서울특별시 성동구 성수동2가 301-72번지','컨템포(contempo)','커피숍','204393.6492','449083.4774'
'14834','1','서울특별시 강남구 대치동 933-11번지','베프 슬라임','커피숍','205067.685','444132.905'
'14845','1','서울특별시 강서구 화곡동 61-176번지 (지상 1층)','와플대학 화곡본캠퍼스','커피숍','186310.7904','448930.0494'
'14861','1','서울특별시 성북구 하월곡동 46-73 홈플러스 월곡점 지하1층 15호','만랩커피 홈플러스월곡점','커피숍','203502.0041','455500.569'
'14909','1','서울특별시 서대문구 남가좌동 325-43번지 메이게이트 1층','오월의 이유','커피숍','193315.6047','452949.0625'
'14911','1','서울특별시 용산구 청파동2가 53-12번지 숙명여자대학교','블루베리','커피숍','196831.4618','449320.3704'
'14970','1','서울특별시 동작구 신대방동 618-3번지 동아음악학원','다옴카페','커피숍','192244.9204','442897.953'
'14975','1','서울특별시 도봉구 창동 560-44번지','매로우(marrow)','커피숍','203382.0036','459471.4627'
'14991','1','서울특별시 중구 남대문로4가 45번지 대한서울상공회의소','대한상공회의소점 공차','커피숍','197620.6489','450919.8743'
'15022','1','서울특별시 노원구 상계동 358-6번지 2층','시즌(SEASON)','커피숍','205465.1996','461722.849'
'15030','1','서울특별시 구로구 고척동 76-368번지','카페에쏠로지(고척점)','커피숍','188119.0961','444220.5497'
'15049','1','서울특별시 동작구 신대방동 686-2번지','커피집','커피숍','191735.42','442882.9079'
'15067','1','서울특별시 강남구 신사동 664-11번지 선우빌딩 지상2층','모헤닉스테이310','커피숍','203455.1865','447122.3802'
'15068','1','서울특별시 강남구 개포동 1260-14번지','엘앤제이커피','커피숍','204224.0373','441905.7309'
'15083','1','서울특별시 서초구 방배동 475-31번지 1층','켄드 커피랩','커피숍','198788.6742','441736.7638'
'15108','1','서울특별시 영등포구 양평동3가 13번지 양평동 이노플렉스 104호','콘레드커피영등포양평점','커피숍','190146.7944','447018.1983'
'15115','1','서울특별시 금천구 가산동 237-32번지','컵(CUP) 커피','커피숍','190253.881','441272.9917'
'15148','1','서울특별시 서대문구 연희동 715-3번지','이알커피연희(ER coffee)','커피숍','193831.4311','452684.3651'
'15197','1','서울특별시 영등포구 영등포동7가 94-50번지 102호','이디야커피당산버드나루점','커피숍','191860.5008','447080.8891'
'15205','1','서울특별시 구로구 구로동 212-13번지 벽산디지털밸리Ⅲ','카페 거기','커피숍','190528.4501','442352.7704'
'15221','1','서울특별시 동작구 본동 190-10번지','원두서점','커피숍','195641.6606','445505.8624'
'15257','1','서울특별시 강남구 개포동 1226-10번지','쿤스트138(KUNST138)','커피숍','204137.9599','441555.8999'
'15259','1','서울특별시 강남구 삼성동 151-7번지 싹아트센터','만랩커피 삼성싹아트홀점','커피숍','204849.9988','445280.5969'
'15274','1','서울특별시 성북구 동선동1가 58번지 지상1층','빵카페','커피숍','201542.8252','454296.1018'
'15284','1','서울특별시 성동구 사근동 110번지 한양대학교','공차 한양대한양플라자점','커피숍','204108.2637','450598.4701'
'15289','1','서울특별시 광진구 구의동 236-48번지 동서빌딩 1층','라떼와모카','커피숍','207428.0583','449011.5827'
'15320','1','서울특별시 성북구 안암동1가 318-5 1층','(카페)평행선 parallel lines','커피숍','201939.964','454022.8007'
'15327','1','서울특별시 강동구 성내동 12-29번지','펠어커피 강동점','커피숍','211163.2292','448255.8851'
'15336','1','서울특별시 강남구 역삼동 818-8번지','아마스빈강남2호점','커피숍','202491.2487','444170.949'
'15338','1','서울특별시 강남구 논현동 111-26번지','(주)비넨폴크','커피숍','203519.698','446241.7445'
'15428','1','서울특별시 강동구 명일동 248-7번지','노랑고래(yellow whale coffee.tea)','커피숍','213536.4854','449634.756'
